id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3191,Malleson Garden Cottage,3754,Brigitte,,Ward 57,-33.94762,18.47599,Entire home/apt,674,3,84,2025-01-08,0.58,1,56,8,
15068,Grande Bay,59318,Linda,,Ward 23,-33.78826,18.4594,Entire home/apt,3000,4,0,,,6,364,0,
15199,Self catering apartment,59694,Alexa,,Ward 115,-33.91115,18.41235,Entire home/apt,2250,14,2,2016-04-15,0.01,1,365,0,
15354,"Aurora Self Catering Units, Durbanville, Cape Town",60196,Ian,,Ward 112,-33.83074,18.63142,Entire home/apt,,3,0,,,1,0,0,
16259,"Glorious private Cottage, char weekdays included.",63255,Cheryl,,Ward 59,-33.99612,18.46563,Entire home/apt,1563,2,17,2024-12-22,0.13,3,172,1,
19271,Largo House self catering suite,73439,Beverley,,Ward 59,-33.97918,18.45549,Entire home/apt,650,2,157,2025-03-01,0.99,5,223,36,
19561,Apartment in Durbanville,74188,Cherry,,Ward 103,-33.84229,18.67832,Private room,,2,0,,,1,0,0,
19658,Private Room,74504,Ricardo,,Ward 5,-33.87208,18.53586,Private room,,7,0,,,1,0,0,
20670,ROOM TO LET,78185,Gill,,Ward 64,-34.09151,18.48337,Private room,,3,0,,,1,0,0,
22994,Heritage Home in Cape Town suburbs,89107,Sandra,,Ward 58,-33.95784,18.48782,Entire home/apt,1721,7,19,2025-01-01,0.11,1,70,2,
36347,Cosy Downtown Loft with Views over Rooftop Deck,156196,Alan,,Ward 115,-33.92456,18.42238,Entire home/apt,1370,4,288,2025-02-15,2.17,1,157,11,
36483,"Stylish Studio, Pool, Parking, Wifi, kitchenette",156910,Dave,,Ward 107,-33.82157,18.48436,Private room,950,28,38,2025-01-16,0.23,8,364,2,
36485,Stunning Studio Close To The Beach Cape Town,156910,Dave,,Ward 107,-33.82063,18.48376,Private room,950,28,25,2022-12-19,0.14,8,365,0,
36499,Lovely Garden Cottage Close To The Beach Cape Town,156910,Dave,,Ward 107,-33.81963,18.48455,Entire home/apt,950,2,30,2022-02-12,0.18,8,357,0,
